0.002394,-0.002993,-3.156416,-8.612650,-218.593384,-570.319397,
0.000000,-0.002993,-3.156416,-8.615646,-218.624969,-570.405701,
0.000000,-0.002394,-3.156416,-8.618035,-218.656464,-570.491638,
0.000000,-0.001197,-3.156416,-8.619231,-218.687988,-570.577698,
0.000000,-0.002394,-3.156416,-8.621640,-218.719742,-570.664490,
0.000000,0.000000,-3.156416,-8.621640,-218.751190,-570.750427,
-0.001796,0.000000,-3.158213,-8.621640,-218.782806,-570.836731,
-0.001796,0.000000,-3.159976,-8.621640,-218.813843,-570.921448,
0.000000,0.000000,-3.159976,-8.621640,-218.845245,-571.007080,
0.000599,0.000000,-3.159361,-8.621640,-218.877701,-571.095642,
0.000000,0.000599,-3.159361,-8.621043,-218.909210,-571.181702,
0.002394,0.001197,-3.157000,-8.619862,-218.940353,-571.266724,
0.001796,0.000000,-3.155177,-8.619862,-218.972366,-571.354187,
0.000599,0.001796,-3.154587,-8.618093,-219.003464,-571.439148,
0.000000,0.003591,-3.154587,-8.614443,-219.035522,-571.526672,
0.000000,0.003591,-3.154587,-8.610847,-219.067123,-571.612854,
0.000599,0.002993,-3.153985,-8.607837,-219.098846,-571.699463,
0.001796,0.000599,-3.152225,-8.607249,-219.129761,-571.783875,
0.002993,-0.000599,-3.149233,-8.607848,-219.161224,-571.869873,
0.002993,0.000000,-3.146244,-8.607848,-219.192642,-571.955872,
0.000000,0.000000,-3.146244,-8.607848,-219.223663,-572.040771,
0.000000,-0.001197,-3.146244,-8.609082,-219.256119,-572.129578,
0.000599,-0.002394,-3.145640,-8.611500,-219.287872,-572.216492,
0.000599,-0.000599,-3.145041,-8.612099,-219.319366,-572.302734,
0.001197,-0.000599,-3.143841,-8.612699,-219.350861,-572.389038,
0.000000,0.000000,-3.143841,-8.612699,-219.381378,-572.472595,
0.000000,0.001197,-3.143841,-8.611467,-219.413712,-572.561157,
-0.001796,0.001197,-3.145640,-8.610269,-219.445206,-572.647400,
0.000000,0.002394,-3.145640,-8.607886,-219.476501,-572.733093,
-0.000599,0.001197,-3.146242,-8.606681,-219.508194,-572.819824,
0.000000,0.003591,-3.146242,-8.603176,-219.538879,-572.903748,
-0.002993,0.002993,-3.149317,-8.600102,-219.571228,-572.992065,
-0.003591,0.001796,-3.152827,-8.598347,-219.602066,-573.076172,
-0.000599,0.000000,-3.153437,-8.598347,-219.634201,-573.163757,
-0.002394,0.000599,-3.155841,-8.597746,-219.665878,-573.250061,
-0.004190,-0.001796,-3.160034,-8.599543,-219.697495,-573.336121,
-0.004788,-0.001796,-3.164821,-8.601337,-219.729141,-573.422119,
-0.004788,-0.002394,-3.169619,-8.603737,-219.760895,-573.508301,
-0.003591,-0.001197,-3.173220,-8.604937,-219.792725,-573.594604,
-0.000599,0.000000,-3.173815,-8.604937,-219.824295,-573.680237,
0.000000,0.000599,-3.173815,-8.604348,-219.855469,-573.764771,
0.000000,0.000000,-3.173815,-8.604348,-219.887619,-573.851868,
0.002394,-0.001197,-3.171398,-8.605556,-219.919632,-573.938721,
0.002394,-0.001197,-3.168995,-8.606759,-219.951447,-574.025085,
0.003591,-0.000599,-3.165481,-8.607345,-219.982407,-574.109314,
0.002993,0.000000,-3.162438,-8.607345,-220.014572,-574.196838,
0.000000,0.000000,-3.162438,-8.607345,-220.046143,-574.282715,
-0.001796,-0.001197,-3.164252,-8.608554,-220.078110,-574.369690,
0.000000,-0.001796,-3.164252,-8.610349,-220.109741,-574.455811,
-0.001796,-0.002394,-3.166049,-8.612744,-220.141418,-574.541992,
-0.000599,-0.003591,-3.166647,-8.616336,-220.173065,-574.628174,
-0.003591,-0.004788,-3.170178,-8.621044,-220.204239,-574.712952,
-0.001796,-0.001796,-3.171973,-8.622839,-220.235947,-574.799133,
-0.002993,-0.001197,-3.174960,-8.624034,-220.267624,-574.885254,
-0.002394,0.000000,-3.177404,-8.624034,-220.300049,-574.973267,
0.000000,-0.001197,-3.177404,-8.625233,-220.331879,-575.059631,
