AX, AY, VX, VY, PX, PY,
0.0598550,-0.1197101,0.2523343,-1.5947558,8.6203680,-81.6294632
0.1197101,-0.1795651,0.2535141,-1.5965257,8.6278639,-81.6766739
0.1795651,-0.1795651,0.2553342,-1.5983456,8.6356277,-81.7252731
0.0000000,-0.1795651,0.2553342,-1.6001744,8.6434288,-81.7741623
0.0000000,-0.0598550,0.2553342,-1.6007608,8.6509323,-81.8212051
0.0000000,0.0598550,0.2553342,-1.6001543,8.6586933,-81.8698425
-0.1197101,0.1795651,0.2541347,-1.5983549,8.6663332,-81.9178925
-0.2394202,0.2394202,0.2517903,-1.5960107,8.6737299,-81.9647751
0.0000000,0.1197101,0.2517903,-1.5947915,8.6814222,-82.0135040
0.1795651,0.0000000,0.2535874,-1.5947915,8.6890364,-82.0613861
0.2394202,0.0000000,0.2559816,-1.5947915,8.6967154,-82.1092300
0.1795651,0.2394202,0.2577902,-1.5923802,8.7045050,-82.1573486
0.0000000,0.3591303,0.2577902,-1.5887961,8.7122231,-82.2049103
0.1197101,0.0000000,0.2589878,-1.5887961,8.7199965,-82.2525940
0.0000000,-0.0598550,0.2589878,-1.5893950,8.7277718,-82.3003082
0.0000000,0.0000000,0.2589878,-1.5893950,8.7353239,-82.3466568
0.0000000,0.0000000,0.2589878,-1.5893950,8.7431211,-82.3945084
0.0000000,0.0598550,0.2589878,-1.5887794,8.7511110,-82.4435272
0.0000000,0.0000000,0.2589878,-1.5887794,8.7588472,-82.4909821
-0.1197101,0.0598550,0.2578070,-1.5881890,8.7664757,-82.5379791
-0.1197101,0.0000000,0.2566108,-1.5881890,8.7741680,-82.5855942
-0.0598550,0.0000000,0.2560008,-1.5881890,8.7819958,-82.6341476
0.0000000,-0.0598550,0.2560008,-1.5887769,8.7895384,-82.6809540
0.0000000,0.0000000,0.2560008,-1.5887769,8.7971897,-82.7284470
-0.1197101,0.0598550,0.2547721,-1.5881625,8.8050346,-82.7773514
-0.1795651,0.0000000,0.2529815,-1.5881625,8.8126030,-82.8248596
-0.0598550,0.0000000,0.2523810,-1.5881625,8.8201990,-82.8726578
0.2992752,0.0000000,0.2553175,-1.5881625,8.8277149,-82.9194107
0.1197101,0.0598550,0.2565184,-1.5875621,8.8354349,-82.9671860
0.0000000,0.0000000,0.2565184,-1.5875621,8.8432636,-83.0156403
-0.1795651,-0.0598550,0.2547148,-1.5881634,8.8509378,-83.0634918
-0.1795651,-0.2394202,0.2529515,-1.5905144,8.8583908,-83.1103439
-0.2992752,-0.1795651,0.2499013,-1.5923444,8.8660316,-83.1590347
-0.2394202,-0.2992752,0.2475454,-1.5952892,8.8733387,-83.2061310
-0.1197101,-0.2394202,0.2463114,-1.5977572,8.8809557,-83.2555389
0.0000000,0.0000000,0.2463114,-1.5977572,8.8883066,-83.3032150
-0.0598550,0.0598550,0.2457143,-1.5971601,8.8956604,-83.3510132
0.0000000,0.0598550,0.2457143,-1.5965767,8.9028454,-83.3977051
0.0000000,0.0000000,0.2457143,-1.5965767,8.9103355,-83.4463654
0.2394202,-0.2394202,0.2481143,-1.5989767,8.9177971,-83.4944458
0.3591303,-0.1795651,0.2517745,-1.6008068,8.9254951,-83.5433960
0.2992752,-0.1197101,0.2547709,-1.6020054,8.9331474,-83.5915146
0.0000000,-0.1795651,0.2547709,-1.6037580,8.9406071,-83.6384735
0.0000000,-0.4788404,0.2547709,-1.6086516,8.9484186,-83.6877899
0.2992752,-0.1795651,0.2577816,-1.6104581,8.9561987,-83.7363892
0.4189853,0.0598550,0.2619765,-1.6098589,8.9640675,-83.7847443
0.1197101,-0.1197101,0.2631736,-1.6110560,8.9719629,-83.8330765
0.0000000,0.0000000,0.2631736,-1.6110560,8.9797821,-83.8809433
0.0598550,0.2394202,0.2637728,-1.6086589,8.9877043,-83.9292603
-0.1197101,0.0000000,0.2625819,-1.6086589,8.9955416,-83.9772720
-0.1197101,-0.0598550,0.2613767,-1.6092615,9.0034361,-84.0258865
-0.1795651,0.1197101,0.2596205,-1.6080909,9.0110531,-84.0730667
-0.4788404,0.0000000,0.2548187,-1.6080909,9.0187197,-84.1214447
-0.4788404,0.1197101,0.2499384,-1.6068708,9.0263615,-84.1705704
-0.1795651,0.0000000,0.2481427,-1.6068708,9.0338058,-84.2187805
-0.2992752,0.0000000,0.2452194,-1.6068708,9.0409918,-84.2658691
-0.1795651,0.0598550,0.2433793,-1.6062574,9.0484743,-84.3152466
-0.4189853,0.0000000,0.2391877,-1.6062574,9.0556526,-84.3634567
0.0000000,0.0000000,0.2391877,-1.6062574,9.0628223,-84.4116058
0.1795651,0.0598550,0.2409898,-1.6056567,9.0700779,-84.4599457
0.1197101,0.0000000,0.2421836,-1.6056567,9.0773230,-84.5079803
0.1795651,-0.0598550,0.2439907,-1.6062591,9.0846901,-84.5564804
0.4189853,0.0000000,0.2480817,-1.6062591,9.0919561,-84.6035309
0.4788404,0.0598550,0.2528912,-1.6056578,9.0995770,-84.6519089
0.2992752,0.0000000,0.2558767,-1.6056578,9.1072350,-84.6999664
0.0000000,-0.1795651,0.2558767,-1.6074514,9.1149015,-84.7481308
0.0000000,-0.0598550,0.2558767,-1.6080513,9.1225967,-84.7964935
0.0000000,-0.1795651,0.2558767,-1.6098844,9.1304321,-84.8457870
0.0000000,0.0000000,0.2558767,-1.6098844,9.1380529,-84.8937378
0.1197101,0.1795651,0.2570872,-1.6080687,9.1458521,-84.9425201
0.0000000,0.1197101,0.2570872,-1.6068740,9.1535492,-84.9906311
